step,train_loss,validation_loss
0,6.35534,4.25701
1,6.23285,3.8866
2,6.12456,3.73919
3,6.10403,3.65064
4,5.98504,3.59561
5,5.99116,3.55282
6,5.9151,3.52145
7,5.9131,3.4995
8,5.90183,3.48099
9,5.8367,3.46715
10,5.84711,3.46091
11,5.84023,3.44868
12,5.84963,3.44275
13,5.76241,3.43507
14,5.73106,3.42082
15,5.75999,3.41484
16,5.76083,3.40983
17,5.79868,3.40414
18,5.88224,3.40064
19,5.80525,3.39994
20,5.69065,3.39607
21,5.76666,3.39408
22,5.81702,3.39308
23,5.80526,3.38969
24,5.84625,3.38613
25,5.78331,3.38453
26,5.88201,3.38468
27,5.85839,3.38286
28,5.80487,3.38203
29,5.79643,3.37946
30,5.79913,3.37946
31,5.82152,3.37613
32,5.76698,3.37454
33,5.8098,3.37279
34,5.81053,3.36702
35,5.80863,3.36721
36,5.82147,3.36212
37,5.76668,3.35938
38,5.76667,3.35468
39,5.82868,3.34894
40,5.77851,3.34571
41,5.79618,3.34181
42,5.74864,3.33675
43,5.7312,3.33151
44,5.69733,3.3297
45,5.7501,3.32627
46,5.78504,3.32108
47,5.7436,3.31809
48,5.8436,3.31234
49,5.79393,3.30981
50,5.83591,
51,5.83693,
52,5.79282,
53,5.79903,
54,5.84458,
55,5.7779,
56,5.77275,
57,5.7742,
58,5.81926,
59,5.73466,
60,5.75626,
61,5.75641,
62,5.78241,
63,5.72304,
64,5.77996,
65,5.74007,
66,5.76306,
67,5.73837,
68,5.73609,
69,5.7975,
70,5.71589,
71,5.74271,
72,5.74909,
73,5.77228,
74,5.78566,
75,5.77438,
76,5.77875,
77,5.75387,
78,5.74689,
79,5.73284,
80,5.78872,
81,5.77565,
82,5.71004,
83,5.71632,
84,5.74966,
85,5.83851,
86,5.80661,
87,5.93505,
88,5.82722,
89,5.86323,
90,5.85872,
91,5.79391,
92,5.80535,
93,5.81578,
94,5.76876,
95,5.7674,
96,5.77178,
97,5.70097,
98,5.7591,
99,5.8066,
100,5.76324,
101,5.75558,
102,5.81523,
103,5.80418,
104,5.67906,
105,5.67349,
106,5.74784,
107,5.71037,
108,5.63852,
109,5.70011,
110,5.65305,
111,5.71615,
112,5.77405,
113,5.81338,
114,5.80167,
115,5.80139,
116,5.73043,
117,5.72237,
118,5.73506,
119,5.72042,
120,5.72204,
121,5.65836,
122,5.60506,
123,5.62645,
124,5.59065,
125,5.58992,
126,5.5845,
127,5.50924,
128,5.59261,
129,5.51863,
130,5.50417,
131,5.37289,
132,5.47774,
133,5.55762,
134,5.36011,
135,5.43651,
136,5.48894,
137,5.50183,
138,5.49552,
139,5.49655,
140,5.32874,
141,5.33596,
142,5.35877,
143,5.34594,
144,5.43231,
145,5.41526,
146,5.32776,
147,5.2815,
148,5.24771,
149,5.30602,
150,5.3742,
151,5.27694,
152,5.37017,
153,5.32467,
154,5.35451,
155,5.2492,
156,5.19766,
157,5.20458,
158,5.23287,
159,5.13988,
160,5.15224,
161,5.17878,
162,5.22434,
163,5.26236,
