step,train_loss,validation_loss
0,6.40644,4.25767
1,6.28627,3.9237
2,6.16692,3.74
3,6.15625,3.66408
4,6.03106,3.6177
5,6.01587,3.57901
6,5.94789,3.54864
7,5.93731,3.52839
8,5.92112,3.50557
9,5.85778,3.4889
10,5.87012,3.4736
11,5.85404,3.46009
12,5.86232,3.44841
13,5.78065,3.4399
14,5.73428,3.43405
15,5.76477,3.42772
16,5.76885,3.419
17,5.79812,3.41348
18,5.88294,3.40511
19,5.80969,3.39896
20,5.69384,3.39434
21,5.75896,3.3879
22,5.81661,3.3818
23,5.8083,3.37546
24,5.8451,3.37395
25,5.78606,3.37152
26,5.88076,3.36913
27,5.85868,3.36787
28,5.80231,3.36433
29,5.7954,3.36225
30,5.80308,3.36177
31,5.82647,3.35826
32,5.77424,3.35753
33,5.81511,3.35522
34,5.80841,3.35119
35,5.80572,3.34964
36,5.81813,3.34536
37,5.76732,3.34205
38,5.75976,3.33669
39,5.82116,3.33267
40,5.77665,3.33012
41,5.79386,3.32635
42,5.74374,3.32201
43,5.73018,3.31858
44,5.69686,3.31522
45,5.7501,3.31169
46,5.77338,3.30889
47,5.73527,3.3075
48,5.84189,3.30583
49,5.79028,3.30377
50,5.83329,
51,5.83485,
52,5.78917,
53,5.79558,
54,5.84166,
55,5.77743,
56,5.77189,
57,5.77123,
58,5.81478,
59,5.72947,
60,5.75207,
61,5.75495,
62,5.78143,
63,5.7212,
64,5.77855,
65,5.73843,
66,5.75991,
67,5.73531,
68,5.73385,
69,5.79433,
70,5.70705,
71,5.73644,
72,5.73621,
73,5.76197,
74,5.77237,
75,5.76598,
76,5.76873,
77,5.74396,
78,5.73879,
79,5.72015,
80,5.77539,
81,5.75683,
82,5.69282,
83,5.69685,
84,5.73386,
85,5.81913,
86,5.79045,
87,5.91744,
88,5.80549,
89,5.84364,
90,5.83684,
91,5.77352,
92,5.77919,
93,5.78049,
94,5.74329,
95,5.7312,
96,5.72935,
97,5.65974,
98,5.69297,
99,5.72931,
100,5.70745,
101,5.67596,
102,5.76659,
103,5.73759,
104,5.5564,
105,5.55342,
106,5.65023,
107,5.61164,
108,5.52705,
109,5.58467,
110,5.52557,
111,5.60214,
112,5.66722,
113,5.72847,
114,5.71761,
115,5.73812,
116,5.65628,
117,5.62448,
118,5.61498,
119,5.62045,
120,5.60346,
121,5.51105,
122,5.46872,
123,5.51045,
124,5.42584,
125,5.45643,
126,5.39616,
127,5.34447,
128,5.41185,
129,5.30402,
130,5.29037,
131,5.16556,
132,5.24915,
133,5.29739,
134,5.08761,
135,5.19908,
136,5.23126,
137,5.24887,
138,5.21692,
139,5.25677,
140,5.04122,
141,5.07381,
142,5.09734,
143,5.09057,
144,5.19332,
145,5.17154,
146,5.05765,
147,5.04864,
148,4.99673,
149,5.15238,
150,5.18491,
151,5.10113,
152,5.21067,
153,5.15714,
154,5.16415,
155,5.07124,
