step,train_loss,validation_loss
0,6.34848,4.3795
1,6.26453,4.06832
2,6.23098,3.88994
3,6.24102,3.78683
4,6.16108,3.72731
5,6.12903,3.68249
6,6.11327,3.64665
7,6.06598,3.61827
8,6.05447,3.59143
9,6.00695,3.56819
10,6.00977,3.54858
11,5.97945,3.53099
12,5.96728,3.51679
13,5.90986,3.50486
14,5.90075,3.49197
15,5.89903,3.48045
16,5.87146,3.46956
17,5.88236,3.46009
18,5.92389,3.45253
19,5.87021,3.44738
20,5.786,3.44262
21,5.83663,3.43816
22,5.84198,3.43235
23,5.8244,3.42857
24,5.84965,3.42444
25,5.80258,3.42145
26,5.86799,3.41699
27,5.8463,3.4121
28,5.81055,3.40826
29,5.79796,3.40417
30,5.82109,3.39976
31,5.82268,3.39741
32,5.78603,3.39361
33,5.81613,3.39056
34,5.81412,3.38744
35,5.80276,3.38468
36,5.81006,3.38321
37,5.77231,3.37961
38,5.78163,3.37673
39,5.82015,3.37535
40,5.77549,3.37137
41,5.79253,3.3683
42,5.74851,3.3645
43,5.75879,3.36031
44,5.73635,3.358
45,5.73729,3.35363
46,5.77894,3.35103
47,5.73593,3.34868
48,5.82181,3.34681
49,5.78853,3.34631
50,5.81869,
51,5.8019,
52,5.76913,
53,5.78895,
54,5.8406,
55,5.77586,
56,5.77229,
57,5.77644,
58,5.82388,
59,5.74224,
60,5.76855,
61,5.76942,
62,5.79429,
63,5.7217,
64,5.78724,
65,5.76033,
66,5.77824,
67,5.73536,
68,5.74756,
69,5.79503,
70,5.71027,
71,5.74217,
72,5.73965,
73,5.78149,
74,5.76826,
75,5.77338,
76,5.78941,
77,5.76104,
78,5.74454,
79,5.73799,
80,5.77731,
81,5.74482,
82,5.69767,
83,5.71099,
84,5.7421,
85,5.81742,
86,5.8098,
87,5.91571,
88,5.8196,
89,5.86386,
90,5.86493,
91,5.80039,
92,5.82302,
93,5.81761,
94,5.77831,
95,5.7853,
96,5.7975,
97,5.72505,
98,5.77935,
99,5.83003,
100,5.77917,
101,5.77878,
102,5.8307,
103,5.82168,
104,5.7294,
105,5.72417,
106,5.79394,
107,5.74317,
108,5.71113,
109,5.73179,
110,5.71867,
111,5.74429,
112,5.78068,
113,5.80815,
114,5.84325,
115,5.83167,
116,5.76608,
117,5.77488,
118,5.75153,
119,5.78535,
120,5.76838,
121,5.71242,
122,5.67744,
123,5.72043,
124,5.64839,
125,5.67161,
126,5.66125,
127,5.60352,
128,5.68948,
129,5.61924,
130,5.59422,
131,5.56473,
132,5.5711,
133,5.62914,
134,5.47485,
135,5.50906,
136,5.59451,
137,5.55919,
138,5.55888,
139,5.54797,
140,5.44256,
141,5.4572,
142,5.45871,
143,5.4156,
144,5.50734,
145,5.49035,
146,5.4104,
147,5.37627,
148,5.37351,
149,5.41361,
150,5.50107,
151,5.38993,
152,5.42286,
153,5.40774,
154,5.45193,
155,5.34864,
156,5.33565,
157,5.32921,
158,5.32819,
159,5.34459,
160,5.30603,
161,5.34527,
162,5.33032,
163,5.36725,
164,5.2957,
165,5.29387,
166,5.28477,
167,5.29841,
168,5.22531,
169,5.2521,
170,5.31015,
171,5.19904,
172,5.28105,
173,5.20784,
174,5.21594,
175,5.16988,
176,5.23246,
177,5.20323,
178,5.1802,
179,5.20007,
180,5.20167,
181,5.11508,
182,5.16812,
183,5.0611,
184,5.16648,
185,5.20516,
186,5.23728,
187,5.24143,
188,5.2278,
189,5.12926,
190,5.21947,
191,5.19353,
192,5.106,
193,5.14172,
194,5.25031,
195,5.14087,
196,5.22614,
197,5.06327,
198,5.16539,
199,5.15321,
200,5.15114,
201,5.12632,
202,5.1005,
203,5.11426,
204,4.99864,
205,5.12738,
206,4.94052,
207,5.03988,
208,5.02067,
209,5.03374,
210,5.09051,
211,4.90591,
212,5.01886,
213,5.10819,
214,5.05153,
215,5.07626,
216,5.02524,
217,5.07211,
218,4.93422,
219,4.96849,
220,5.03636,
221,4.90747,
222,4.88596,
223,4.92428,
224,5.1876,
225,5.17657,
226,5.15544,
227,5.13909,
228,5.07722,
229,5.0568,
230,5.03393,
231,4.96705,
232,5.01981,
233,5.02266,
234,5.0003,
235,4.99679,
236,4.96387,
237,4.98538,
238,4.92015,
239,4.97423,
240,5.02427,
241,4.97808,
