step,train_loss,validation_loss
0,6.32831,4.39147
1,6.25905,4.15226
2,6.22631,4.01411
3,6.21191,3.92556
4,6.14026,3.87013
5,6.11597,3.82489
6,6.07987,3.79023
7,6.06057,3.76091
8,6.05759,3.7409
9,5.97097,3.72442
10,5.97013,3.71013
11,5.94335,3.69804
12,5.9465,3.68794
13,5.88654,3.67865
14,5.8626,3.66837
15,5.86073,3.66259
16,5.85219,3.65585
17,5.8528,3.65229
18,5.89976,3.64558
19,5.84497,3.64123
20,5.76394,3.63614
21,5.7919,3.62869
22,5.83009,3.6239
23,5.8154,3.61733
24,5.83335,3.61111
25,5.79515,3.60642
26,5.86459,3.60206
27,5.83241,3.59721
28,5.79164,3.59235
29,5.79061,3.58883
30,5.81609,3.58675
31,5.82677,3.58295
32,5.77885,3.58115
33,5.81884,3.57921
34,5.81319,3.57597
35,5.80696,3.5719
36,5.81063,3.5702
37,5.77657,3.56651
38,5.77722,3.56317
39,5.81979,3.56166
40,5.77642,3.55736
41,5.79624,3.55523
42,5.74923,3.55351
43,5.75836,3.55069
44,5.73209,3.54895
45,5.73234,3.54742
46,5.77903,3.54598
47,5.73201,3.54554
48,5.82186,3.54326
49,5.79159,3.54293
50,5.81712,
51,5.803,
52,5.77167,
53,5.79075,
54,5.84469,
55,5.77866,
56,5.77381,
57,5.77691,
58,5.82062,
59,5.74859,
60,5.77022,
61,5.76744,
62,5.79287,
63,5.72246,
64,5.78795,
65,5.75735,
66,5.78136,
67,5.73505,
68,5.74957,
69,5.79549,
70,5.71073,
71,5.73985,
72,5.73724,
73,5.78297,
74,5.77077,
75,5.77619,
76,5.78872,
77,5.76398,
78,5.74685,
79,5.73924,
80,5.77839,
81,5.75316,
82,5.70288,
83,5.71187,
84,5.74361,
85,5.82238,
86,5.81652,
87,5.92312,
88,5.83129,
89,5.87449,
90,5.87734,
91,5.80548,
92,5.83241,
93,5.82648,
94,5.78087,
95,5.79129,
96,5.79846,
97,5.72929,
98,5.79952,
99,5.84178,
100,5.79501,
101,5.79172,
102,5.83458,
103,5.82536,
104,5.7491,
105,5.74358,
106,5.80438,
107,5.76263,
108,5.74003,
109,5.75596,
110,5.75052,
111,5.76665,
112,5.80697,
113,5.8601,
114,5.87559,
115,5.87429,
116,5.81943,
117,5.83718,
118,5.83196,
119,5.84065,
120,5.82596,
121,5.77831,
122,5.75541,
123,5.7905,
124,5.74135,
125,5.77618,
126,5.81058,
127,5.73223,
128,5.80485,
129,5.76074,
130,5.73886,
131,5.73835,
132,5.74659,
133,5.78938,
134,5.69127,
135,5.69518,
136,5.79408,
137,5.79702,
138,5.79529,
139,5.8188,
140,5.67845,
141,5.67497,
142,5.68603,
143,5.65861,
144,5.7459,
145,5.74184,
146,5.66363,
147,5.65952,
148,5.66806,
149,5.66667,
150,5.73181,
151,5.6818,
152,5.67495,
153,5.65755,
154,5.6957,
155,5.61417,
156,5.58172,
157,5.59203,
158,5.57039,
159,5.60115,
160,5.5835,
161,5.58734,
162,5.54129,
163,5.59089,
164,5.51248,
165,5.50403,
166,5.5138,
167,5.53916,
168,5.43694,
169,5.47304,
170,5.51499,
171,5.4496,
172,5.4735,
173,5.43658,
174,5.40944,
175,5.36299,
176,5.39909,
177,5.36159,
178,5.31346,
179,5.34678,
180,5.35823,
181,5.33328,
182,5.31542,
183,5.26891,
184,5.3366,
185,5.35407,
186,5.42172,
187,5.37081,
188,5.33783,
189,5.33302,
190,5.35393,
191,5.33056,
192,5.24631,
193,5.29415,
194,5.38484,
195,5.25173,
196,5.33483,
197,5.19971,
198,5.25295,
199,5.23934,
200,5.2265,
201,5.21147,
202,5.20908,
203,5.20648,
204,5.08482,
205,5.22058,
206,5.0884,
207,5.13745,
208,5.12299,
209,5.13071,
210,5.1571,
211,4.98604,
212,5.09923,
213,5.17622,
214,5.13078,
215,5.12091,
216,5.11018,
217,5.13984,
218,5.00055,
219,5.04921,
220,5.07636,
221,4.95202,
222,4.94016,
