step,train_loss,validation_loss
0,6.34543,4.40692
1,6.24285,4.09034
2,6.21359,3.95182
3,6.17538,3.86622
4,6.13107,3.80927
5,6.10128,3.76857
6,6.06261,3.73299
7,6.04595,3.70773
8,6.03803,3.6838
9,5.97899,3.66401
10,5.97499,3.64692
11,5.94411,3.62918
12,5.95087,3.61635
13,5.88566,3.60654
14,5.87026,3.59666
15,5.86911,3.58627
16,5.84589,3.57965
17,5.85267,3.57202
18,5.8967,3.5635
19,5.84955,3.55674
20,5.79043,3.55071
21,5.80501,3.54453
22,5.83262,3.53875
23,5.81334,3.53558
24,5.83217,3.53375
25,5.80091,3.52937
26,5.86343,3.52505
27,5.83236,3.52226
28,5.79594,3.51831
29,5.79047,3.51621
30,5.81233,3.51318
31,5.82254,3.51098
32,5.77802,3.50792
33,5.82192,3.5058
34,5.8135,3.50324
35,5.80926,3.49887
36,5.81257,3.49378
37,5.77922,3.49001
38,5.77963,3.48594
39,5.82166,3.48182
40,5.77778,3.47751
41,5.79187,3.47638
42,5.75134,3.4729
43,5.76244,3.46959
44,5.73592,3.46499
45,5.7383,3.46051
46,5.7813,3.45596
47,5.73456,3.45287
48,5.827,3.44991
49,5.7932,3.44723
50,5.81755,
51,5.80526,
52,5.77636,
53,5.78963,
54,5.84684,
55,5.77829,
56,5.77693,
57,5.77834,
58,5.82319,
59,5.7487,
60,5.77082,
61,5.77277,
62,5.79591,
63,5.72333,
64,5.78831,
65,5.76009,
66,5.78176,
67,5.7344,
68,5.75106,
69,5.79889,
70,5.71319,
71,5.7428,
72,5.73901,
73,5.78531,
74,5.77351,
75,5.77642,
76,5.79326,
77,5.76472,
78,5.74858,
79,5.74139,
80,5.77693,
81,5.75468,
82,5.70622,
83,5.71385,
84,5.74456,
85,5.81831,
86,5.81835,
87,5.92101,
88,5.82624,
89,5.87024,
90,5.87283,
91,5.80984,
92,5.8317,
93,5.82545,
94,5.78386,
95,5.7934,
96,5.8002,
97,5.73099,
98,5.792,
99,5.83554,
100,5.79528,
101,5.79412,
102,5.83584,
103,5.8255,
104,5.74577,
105,5.7459,
106,5.80493,
107,5.76161,
108,5.73877,
109,5.75479,
110,5.75448,
111,5.7693,
112,5.81307,
113,5.86449,
114,5.88081,
115,5.88148,
116,5.82148,
117,5.83987,
118,5.83203,
119,5.84392,
120,5.82495,
121,5.77847,
122,5.75535,
123,5.79383,
124,5.7401,
125,5.77564,
126,5.81406,
127,5.73447,
128,5.80707,
129,5.76695,
130,5.7443,
131,5.7395,
132,5.75199,
133,5.79532,
134,5.70291,
135,5.70196,
136,5.79943,
137,5.80409,
138,5.80099,
139,5.82153,
140,5.6916,
141,5.6843,
142,5.6924,
143,5.66167,
144,5.74738,
145,5.73376,
146,5.66666,
147,5.65965,
148,5.67479,
149,5.66593,
150,5.73376,
151,5.67383,
152,5.67353,
153,5.64914,
154,5.70259,
155,5.60118,
156,5.59264,
157,5.59246,
158,5.57604,
159,5.61265,
160,5.58678,
161,5.6022,
162,5.54338,
163,5.60762,
164,5.53357,
165,5.5247,
166,5.54174,
167,5.54363,
168,5.44013,
169,5.49554,
170,5.5488,
171,5.48694,
172,5.51135,
173,5.46939,
174,5.45067,
175,5.40338,
176,5.43973,
177,5.41849,
178,5.35925,
179,5.40004,
180,5.43154,
181,5.37999,
182,5.36609,
183,5.34358,
184,5.39612,
185,5.43382,
186,5.52396,
187,5.44672,
188,5.41685,
189,5.43166,
190,5.41251,
191,5.41073,
192,5.33756,
193,5.39981,
194,5.48075,
195,5.33427,
196,5.3999,
197,5.28718,
198,5.33509,
199,5.29676,
200,5.28978,
201,5.28413,
202,5.28727,
203,5.26561,
204,5.16286,
205,5.31107,
206,5.18353,
207,5.21624,
208,5.22185,
209,5.20441,
210,5.24018,
211,5.08609,
212,5.17453,
213,5.24614,
214,5.20803,
215,5.19628,
216,5.16942,
217,5.19595,
218,5.078,
219,5.09942,
220,5.15694,
221,5.00213,
222,4.99559,
223,5.03465,
224,5.28511,
225,5.25676,
226,5.25031,
227,5.21712,
228,5.17244,
229,5.13941,
230,5.11601,
231,5.04871,
232,5.12499,
233,5.08833,
234,5.09638,
235,5.06629,
236,5.03109,
237,5.04641,
238,4.97784,
239,5.03122,
240,5.10963,
241,5.06556,
242,5.0388,
243,5.13792,
244,5.08152,
245,4.92937,
246,4.92756,
247,5.06611,
248,4.95383,
249,4.98367,
250,5.08613,
251,5.07506,
252,5.02664,
253,4.95816,
254,5.00635,
255,5.01501,
256,5.00859,
257,5.00768,
258,5.0578,
259,4.9628,
260,4.92209,
261,4.95064,
262,5.00118,
263,4.9778,
264,4.86737,
265,4.91411,
266,4.90339,
267,4.90774,
268,4.93341,
269,4.8584,
270,4.77773,
271,4.9764,
272,4.92755,
273,4.75268,
274,4.70933,
275,4.90932,
276,5.0361,
277,5.03567,
278,5.00854,
279,4.89321,
280,4.86557,
281,4.97934,
282,4.96478,
283,4.96512,
284,4.90671,
285,4.78843,
286,4.94484,
287,4.7654,
288,4.80783,
289,4.73101,
290,4.84382,
291,4.96057,
292,4.95183,
293,4.96704,
294,5.00921,
295,4.94685,
296,4.91112,
297,4.93835,
298,4.86282,
299,4.92874,
300,4.90278,
301,4.88551,
302,4.93163,
303,4.92484,
304,5.23028,
305,4.85951,
306,4.88401,
307,4.90301,
308,4.85283,
309,4.78875,
310,4.85319,
311,4.84037,
312,4.83732,
313,4.82076,
314,4.97027,
315,4.85568,
316,4.83743,
317,4.7299,
318,4.82473,
319,4.80176,
320,4.87059,
321,4.88481,
322,4.91209,
323,4.75107,
324,4.87257,
325,4.91928,
326,4.95099,
327,4.98901,
328,4.99716,
329,4.86645,
330,4.87465,
331,4.90555,
332,4.91431,
333,4.90219,
334,4.86397,
335,4.83022,
336,4.83762,
337,4.79469,
338,4.76239,
339,4.8589,
340,4.78305,
341,4.74819,
342,4.76862,
343,4.82814,
344,4.86837,
345,4.82461,
346,4.79301,
347,4.8162,
