step,train_loss,validation_loss
0,6.3705,4.44832
1,6.24539,3.93436
2,6.23161,3.72979
3,6.23477,3.636
4,6.16438,3.57932
5,6.15306,3.54243
6,6.1104,3.51483
7,6.07399,3.49284
8,6.08398,3.47742
9,6.02216,3.46752
10,6.01508,3.46015
11,5.97738,3.4548
12,5.97582,3.44789
13,5.9194,3.43695
14,5.91589,3.42542
15,5.90729,3.42477
16,5.87849,3.41901
17,5.89414,3.41738
18,5.92061,3.41282
19,5.87419,3.40709
20,5.78833,3.40008
21,5.84411,3.39591
22,5.84737,3.39095
23,5.83161,3.38723
24,5.85084,3.38895
25,5.80457,3.38568
26,5.87436,3.38485
27,5.85044,3.37948
28,5.80863,3.38182
29,5.80173,3.37723
30,5.82085,3.37669
31,5.82932,3.37253
32,5.78346,3.36926
33,5.81596,3.36602
34,5.81435,3.36046
35,5.8142,3.35565
36,5.8097,3.34902
37,5.77161,3.3442
38,5.78418,3.33399
39,5.82417,3.32819
40,5.77682,3.32011
41,5.79454,3.31387
42,5.75069,3.30939
43,5.75728,3.30251
44,5.73513,3.29917
45,5.73813,3.2937
46,5.78384,3.29383
47,5.73736,3.29466
48,5.82176,3.29348
49,5.7926,3.29116
50,5.82186,
51,5.80583,
52,5.76991,
53,5.78833,
54,5.84163,
55,5.77559,
56,5.77712,
57,5.77595,
58,5.82304,
59,5.74381,
60,5.76929,
61,5.77184,
62,5.79551,
63,5.72543,
64,5.7887,
65,5.75946,
66,5.78102,
67,5.73641,
68,5.7496,
69,5.79722,
70,5.7114,
71,5.7412,
72,5.74019,
73,5.7825,
74,5.77122,
75,5.77618,
76,5.7937,
77,5.76191,
78,5.74715,
79,5.74102,
80,5.77699,
81,5.75081,
82,5.70522,
83,5.71355,
84,5.74464,
85,5.8175,
86,5.81562,
87,5.918,
88,5.81888,
89,5.86519,
90,5.86846,
91,5.80461,
92,5.82569,
93,5.82255,
94,5.78027,
95,5.78848,
96,5.79715,
97,5.72338,
98,5.78051,
99,5.81607,
100,5.77941,
101,5.77767,
102,5.82804,
103,5.81926,
104,5.70006,
105,5.70467,
106,5.78788,
107,5.73292,
108,5.69798,
109,5.71631,
110,5.72116,
111,5.74502,
112,5.78707,
113,5.80887,
114,5.83603,
115,5.82363,
116,5.77318,
117,5.76413,
118,5.75028,
119,5.78485,
120,5.77126,
121,5.72387,
122,5.69873,
123,5.7216,
124,5.6636,
125,5.67345,
126,5.68326,
127,5.61779,
128,5.71304,
129,5.64082,
130,5.6259,
131,5.59315,
132,5.61691,
133,5.67833,
134,5.53136,
135,5.56578,
136,5.65362,
137,5.60978,
138,5.63144,
139,5.61293,
140,5.52523,
141,5.54304,
142,5.5698,
143,5.53129,
144,5.62236,
145,5.60595,
146,5.55508,
147,5.52644,
148,5.49904,
149,5.51766,
150,5.59484,
151,5.5154,
152,5.59718,
153,5.55501,
154,5.58949,
155,5.48836,
156,5.48379,
157,5.46723,
158,5.46242,
159,5.493,
160,5.48073,
161,5.50005,
162,5.4935,
163,5.53937,
164,5.47173,
165,5.43093,
166,5.42195,
167,5.45536,
168,5.3699,
169,5.43685,
170,5.4788,
171,5.36007,
172,5.43553,
173,5.36982,
174,5.37706,
175,5.33618,
176,5.37732,
177,5.33849,
178,5.32434,
179,5.36124,
180,5.36197,
181,5.30119,
182,5.31637,
183,5.24741,
184,5.32391,
185,5.33532,
186,5.40582,
187,5.36994,
188,5.35311,
189,5.33414,
190,5.33826,
191,5.3099,
192,5.24969,
193,5.30162,
194,5.36592,
195,5.26915,
196,5.33952,
197,5.18114,
198,5.276,
199,5.25114,
200,5.29515,
201,5.25401,
202,5.22404,
203,5.2378,
204,5.10159,
205,5.25474,
206,5.09664,
207,5.17356,
208,5.15809,
209,5.18296,
210,5.21671,
211,5.05301,
212,5.16106,
213,5.2361,
214,5.16698,
215,5.21588,
216,5.15961,
217,5.19034,
218,5.05446,
219,5.10134,
220,5.17438,
221,5.0213,
222,5.02985,
223,5.07401,
224,5.33146,
225,5.31359,
226,5.24489,
227,5.22984,
228,5.22793,
229,5.19045,
230,5.15294,
231,5.10745,
232,5.14124,
233,5.16793,
234,5.14273,
235,5.12869,
236,5.09769,
237,5.11925,
238,5.06481,
239,5.09988,
240,5.16564,
241,5.12998,
242,5.05785,
243,5.22746,
244,5.17464,
245,5.01237,
246,5.02757,
247,5.15856,
248,5.05581,
249,5.08342,
250,5.17747,
251,5.18043,
252,5.12315,
253,5.05003,
254,5.13885,
255,5.0859,
256,5.04409,
257,5.09999,
258,5.1502,
259,5.08883,
260,5.01373,
261,5.05395,
262,5.10938,
263,5.06909,
264,4.95413,
265,5.03497,
266,5.03817,
267,5.02529,
268,5.05282,
269,4.96029,
270,4.91859,
271,5.11293,
272,5.05494,
273,4.87464,
274,4.84867,
275,5.0324,
276,5.13608,
277,5.16936,
278,5.11435,
279,4.9775,
280,4.98153,
281,5.06793,
282,5.03674,
283,5.08418,
284,5.02539,
285,4.90882,
286,5.04934,
287,4.87462,
288,4.94146,
289,4.8819,
290,4.91809,
291,5.08027,
292,5.07087,
293,5.09301,
294,5.13076,
295,5.09983,
296,5.05786,
297,5.03907,
298,5.03084,
299,5.05246,
300,5.04242,
301,5.01247,
302,5.04218,
303,5.05615,
304,5.27483,
305,5.02345,
306,5.03853,
307,5.02929,
308,5.01354,
309,4.93551,
310,5.0127,
311,4.97471,
312,4.99355,
313,4.97551,
314,5.08616,
315,5.00725,
316,4.97173,
317,4.89798,
318,4.93546,
319,4.94005,
320,4.99478,
321,5.02474,
322,5.05199,
323,4.89818,
324,5.03597,
325,5.0322,
326,5.06047,
327,5.09992,
328,5.10253,
329,5.02126,
330,5.02443,
331,5.09501,
332,5.03421,
333,5.0252,
334,4.99142,
335,4.97675,
336,4.96734,
337,4.92618,
338,4.90393,
339,4.98135,
340,4.93309,
341,4.89426,
342,4.89709,
343,4.95128,
344,5.01028,
345,4.94552,
346,4.90106,
347,4.9328,
348,4.91284,
349,4.90192,
350,4.93201,
351,4.95192,
352,4.92457,
353,4.8972,
354,4.92667,
355,4.90512,
356,4.90359,
357,4.9621,
358,4.92515,
359,4.89351,
360,4.93219,
361,4.91635,
362,4.7976,
363,4.82454,
364,4.87987,
365,4.85596,
366,4.82178,
367,4.86424,
368,4.83614,
369,4.87363,
370,4.83212,
371,4.73443,
372,4.87702,
