step,train_loss,validation_loss
0,6.40824,4.22648
1,6.29398,3.84497
2,6.16699,3.70383
3,6.16306,3.62168
4,6.03142,3.58251
5,6.00976,3.55393
6,5.94079,3.52845
7,5.93043,3.50524
8,5.91953,3.48653
9,5.85692,3.47405
10,5.86719,3.46212
11,5.85151,3.4488
12,5.85878,3.43985
13,5.77995,3.42906
14,5.73328,3.41976
15,5.7631,3.41437
16,5.76669,3.40521
17,5.79719,3.39983
18,5.88489,3.39427
19,5.81044,3.39254
20,5.69601,3.38628
21,5.76038,3.38477
22,5.81763,3.38055
23,5.80963,3.3787
24,5.84405,3.37517
25,5.78592,3.37062
26,5.88372,3.36534
27,5.85961,3.36362
28,5.80225,3.35996
29,5.79684,3.35714
30,5.80359,3.35346
31,5.82704,3.34977
32,5.77379,3.34813
33,5.81239,3.34394
34,5.80928,3.34453
35,5.80594,3.34193
36,5.81733,3.33954
37,5.76593,3.33709
38,5.75918,3.33384
39,5.82167,3.33031
40,5.77712,3.32755
41,5.79219,3.32407
42,5.74335,3.32064
43,5.72942,3.31715
44,5.69719,3.31643
45,5.74811,3.31439
46,5.77546,3.31434
47,5.73672,3.31355
48,5.83963,3.31215
49,5.79029,3.31035
50,5.83144,
51,5.83603,
52,5.79163,
53,5.79877,
54,5.84138,
55,5.77758,
56,5.77163,
57,5.76963,
58,5.81503,
59,5.7294,
60,5.75302,
61,5.75304,
62,5.78295,
63,5.71667,
64,5.77871,
65,5.73798,
66,5.75809,
67,5.73323,
68,5.73375,
69,5.79018,
70,5.70635,
71,5.73644,
72,5.73427,
73,5.75905,
74,5.76932,
75,5.76415,
76,5.76244,
77,5.73641,
78,5.73102,
79,5.71247,
80,5.76602,
81,5.74927,
82,5.68671,
83,5.68922,
84,5.72272,
85,5.81031,
86,5.77839,
87,5.89858,
88,5.78786,
89,5.82659,
90,5.81353,
91,5.74078,
92,5.75061,
93,5.73632,
94,5.70368,
95,5.68588,
96,5.69323,
97,5.60882,
98,5.62071,
99,5.62979,
100,5.62768,
101,5.60892,
102,5.69749,
103,5.66599,
104,5.45286,
105,5.45081,
106,5.55291,
107,5.51404,
108,5.41529,
109,5.45158,
110,5.40761,
111,5.47865,
112,5.59348,
113,5.60222,
114,5.59932,
115,5.60839,
116,5.52658,
117,5.52831,
118,5.50308,
119,5.47177,
120,5.46401,
121,5.39749,
122,5.34436,
123,5.39625,
124,5.31685,
125,5.3599,
126,5.2619,
127,5.23015,
128,5.30165,
129,5.19952,
130,5.22272,
131,5.12201,
132,5.17642,
133,5.24195,
134,5.07015,
135,5.16689,
136,5.2057,
137,5.24083,
138,5.23155,
139,5.2653,
140,5.06161,
141,5.06808,
142,5.10611,
143,5.09935,
144,5.18591,
145,5.17269,
146,5.07779,
147,5.11448,
148,5.05085,
149,5.2132,
150,5.21336,
151,5.13004,
152,5.22862,
153,5.19275,
154,5.1932,
155,5.13043,
156,5.08746,
157,5.10558,
158,5.11573,
159,5.07481,
160,5.06878,
161,5.08756,
162,5.11828,
163,5.14699,
164,5.09208,
165,5.06615,
166,5.0462,
167,5.05632,
168,4.99961,
169,5.0591,
170,5.1042,
171,4.97628,
172,5.04268,
173,4.96934,
174,5.0063,
175,4.96988,
176,5.0276,
177,5.02625,
178,5.0236,
179,5.04859,
180,5.00823,
181,4.93847,
182,4.98744,
183,4.86371,
184,4.9669,
185,5.09537,
186,5.0929,
187,5.08414,
188,5.07355,
189,4.9876,
190,5.04822,
191,5.03848,
192,4.9294,
193,4.95332,
194,5.11019,
195,4.98984,
196,5.07572,
197,4.90028,
198,4.97182,
199,4.9948,
200,5.00153,
201,4.97073,
202,4.90173,
203,4.91137,
204,4.81109,
205,4.95709,
206,4.73084,
207,4.81933,
208,4.82346,
209,4.83304,
210,4.90319,
211,4.67565,
212,4.83714,
213,4.96166,
214,4.85551,
215,4.89342,
216,4.85993,
217,4.92124,
218,4.75892,
219,4.81619,
220,4.85559,
221,4.73408,
222,4.67054,
223,4.73896,
224,5.09936,
225,5.05586,
226,5.04027,
227,4.99858,
228,4.94758,
