run_name,d_model,d_ff,ffn_ratio,num_layers,num_heads,context_length,batch_size,completed_epochs,training_steps,elapsed_seconds,seconds_per_epoch,initial_train_loss,final_train_loss,best_epoch,best_epoch_train_loss,generalization_gap,best_validation_loss,final_validation_loss,final_learning_rate,best_checkpoint_path
d64_ff128_l2_h2,64,128,2.0,2,2,64,32,50,53250,1424.6740085000056,28.49348017000011,6.328273773193359,2.379401206970215,50,3.104243516921997,0.40558600425720215,3.509829521179199,3.509829521179199,9.999999974752427e-07,sweeps\d64_ff128_l2_h2\checkpoints/d64_ff128_l2_h2_best.bin
d64_ff128_l2_h4,64,128,2.0,2,4,64,32,50,53250,1447.2202382999967,28.944404765999934,6.328311443328857,2.4381537437438965,50,3.1307997703552246,0.41213345527648926,3.542933225631714,3.542933225631714,9.999999974752427e-07,sweeps\d64_ff128_l2_h4\checkpoints/d64_ff128_l2_h4_best.bin
d64_ff128_l4_h2,64,128,2.0,4,2,64,32,50,53250,2297.079423400006,45.94158846800012,6.347647190093994,2.141880512237549,50,2.978844404220581,0.46858882904052734,3.4474332332611084,3.4474332332611084,9.999999974752427e-07,sweeps\d64_ff128_l4_h2\checkpoints/d64_ff128_l4_h2_best.bin
d64_ff128_l4_h4,64,128,2.0,4,4,64,32,50,53250,2383.5703285000054,47.67140657000011,6.345426559448242,2.1826083660125732,50,2.9820921421051025,0.46514034271240234,3.447232484817505,3.447232484817505,9.999999974752427e-07,sweeps\d64_ff128_l4_h4\checkpoints/d64_ff128_l4_h4_best.bin
d64_ff256_l2_h2,64,256,4.0,2,2,64,32,50,53250,1557.5304839000019,31.150609678000038,6.361560344696045,2.121124267578125,50,2.915743827819824,0.47998833656311035,3.3957321643829346,3.3957321643829346,9.999999974752427e-07,sweeps\d64_ff256_l2_h2\checkpoints/d64_ff256_l2_h2_best.bin
d64_ff256_l2_h4,64,256,4.0,2,4,64,32,50,53250,1598.2285664999945,31.964571329999888,6.359421730041504,2.1058735847473145,50,2.9194931983947754,0.47792792320251465,3.39742112159729,3.39742112159729,9.999999974752427e-07,sweeps\d64_ff256_l2_h4\checkpoints/d64_ff256_l2_h4_best.bin
d64_ff256_l4_h2,64,256,4.0,4,2,64,32,50,53250,2585.170209799995,51.7034041959999,6.3224639892578125,1.9094889163970947,49,2.7913436889648438,0.5527617931365967,3.3441054821014404,3.3441574573516846,9.999999974752427e-07,sweeps\d64_ff256_l4_h2\checkpoints/d64_ff256_l4_h2_best.bin
d64_ff256_l4_h4,64,256,4.0,4,4,64,32,50,53250,2702.012000200004,54.04024000400008,6.3185296058654785,1.9731138944625854,50,2.849355936050415,0.5190708637237549,3.36842679977417,3.36842679977417,9.999999974752427e-07,sweeps\d64_ff256_l4_h4\checkpoints/d64_ff256_l4_h4_best.bin
d64_ff512_l2_h2,64,512,8.0,2,2,64,32,50,53250,1737.4928856000042,34.749857712000086,6.34813117980957,1.9212193489074707,50,2.84780216217041,0.4900627136230469,3.337864875793457,3.337864875793457,9.999999974752427e-07,sweeps\d64_ff512_l2_h2\checkpoints/d64_ff512_l2_h2_best.bin
d64_ff512_l2_h4,64,512,8.0,2,4,64,32,50,53250,1773.2910352000035,35.46582070400007,6.348475933074951,1.964124083518982,50,2.838688611984253,0.5076251029968262,3.346313714981079,3.346313714981079,9.999999974752427e-07,sweeps\d64_ff512_l2_h4\checkpoints/d64_ff512_l2_h4_best.bin
d64_ff512_l4_h2,64,512,8.0,4,2,64,32,50,53250,3017.210446099998,60.344208921999964,6.370502948760986,1.629832148551941,50,2.690643310546875,0.6005175113677979,3.291160821914673,3.291160821914673,9.999999974752427e-07,sweeps\d64_ff512_l4_h2\checkpoints/d64_ff512_l4_h2_best.bin
d64_ff512_l4_h4,64,512,8.0,4,4,64,32,50,53250,3064.1523854999978,61.283047709999956,6.375082969665527,1.7085685729980469,50,2.753999948501587,0.5627231597900391,3.316723108291626,3.316723108291626,9.999999974752427e-07,sweeps\d64_ff512_l4_h4\checkpoints/d64_ff512_l4_h4_best.bin
d128_ff128_l2_h2,128,128,1.0,2,2,64,32,50,53250,2006.3614081999986,40.12722816399997,6.430813789367676,1.9203252792358398,50,2.8827273845672607,0.5104742050170898,3.3932015895843506,3.3932015895843506,9.999999974752427e-07,sweeps\d128_ff128_l2_h2\checkpoints/d128_ff128_l2_h2_best.bin
d128_ff128_l2_h4,128,128,1.0,2,4,64,32,50,53250,2032.6457280999894,40.652914561999786,6.430468559265137,1.8868954181671143,50,2.9032363891601562,0.509617805480957,3.4128541946411133,3.4128541946411133,9.999999974752427e-07,sweeps\d128_ff128_l2_h4\checkpoints/d128_ff128_l2_h4_best.bin
d128_ff128_l4_h2,128,128,1.0,4,2,64,32,50,53250,3502.281340699992,70.04562681399985,6.40362548828125,1.6032869815826416,50,2.7524428367614746,0.5732598304748535,3.325702667236328,3.325702667236328,9.999999974752427e-07,sweeps\d128_ff128_l4_h2\checkpoints/d128_ff128_l4_h2_best.bin
d128_ff128_l4_h4,128,128,1.0,4,4,64,32,50,53250,3640.077037700001,72.80154075400002,6.408487796783447,1.4780185222625732,50,2.7528433799743652,0.5953671932220459,3.348210573196411,3.348210573196411,9.999999974752427e-07,sweeps\d128_ff128_l4_h4\checkpoints/d128_ff128_l4_h4_best.bin
d128_ff256_l2_h2,128,256,2.0,2,2,64,32,50,53250,2378.654084099995,47.5730816819999,6.408238887786865,1.497178316116333,50,2.7136847972869873,0.5966603755950928,3.31034517288208,3.31034517288208,9.999999974752427e-07,sweeps\d128_ff256_l2_h2\checkpoints/d128_ff256_l2_h2_best.bin
d128_ff256_l2_h4,128,256,2.0,2,4,64,32,50,53250,2418.0265078000084,48.360530156000166,6.406444549560547,1.5760730504989624,50,2.7258567810058594,0.5779163837432861,3.3037731647491455,3.3037731647491455,9.999999974752427e-07,sweeps\d128_ff256_l2_h4\checkpoints/d128_ff256_l2_h4_best.bin
d128_ff256_l4_h2,128,256,2.0,4,2,64,32,50,53250,4110.833264799992,82.21666529599985,6.3629984855651855,1.3477082252502441,50,2.6461329460144043,0.640012264251709,3.2861452102661133,3.2861452102661133,9.999999974752427e-07,sweeps\d128_ff256_l4_h2\checkpoints/d128_ff256_l4_h2_best.bin
d128_ff256_l4_h4,128,256,2.0,4,4,64,32,50,53250,4163.571619199996,83.27143238399992,6.355338096618652,1.2887014150619507,50,2.640270948410034,0.6695342063903809,3.309805154800415,3.309805154800415,9.999999974752427e-07,sweeps\d128_ff256_l4_h4\checkpoints/d128_ff256_l4_h4_best.bin
d128_ff512_l2_h2,128,512,4.0,2,2,64,32,50,53250,2515.8763551999873,50.317527103999744,6.400826930999756,1.1798814535140991,50,2.6067748069763184,0.7077009677886963,3.3144757747650146,3.3144757747650146,9.999999974752427e-07,sweeps\d128_ff512_l2_h2\checkpoints/d128_ff512_l2_h2_best.bin
d128_ff512_l2_h4,128,512,4.0,2,4,64,32,50,53250,2576.646589000011,51.53293178000022,6.4026265144348145,1.27154541015625,50,2.626532793045044,0.6697053909301758,3.2962381839752197,3.2962381839752197,9.999999974752427e-07,sweeps\d128_ff512_l2_h4\checkpoints/d128_ff512_l2_h4_best.bin
d128_ff512_l4_h2,128,512,4.0,4,2,64,32,26,27690,2252.302416899998,86.62701603461531,6.402480602264404,0.9572243690490723,16,2.6685781478881836,0.6990978717803955,3.367676019668579,3.3998632431030273,0.0004691361973527819,sweeps\d128_ff512_l4_h2\checkpoints/d128_ff512_l4_h2_best.bin
d128_ff512_l4_h4,128,512,4.0,4,4,64,32,24,25560,2160.7907024000015,90.0329459333334,6.40387487411499,1.0564558506011963,14,2.7433738708496094,0.642526388168335,3.3859002590179443,3.412722110748291,0.0005318638868629932,sweeps\d128_ff512_l4_h4\checkpoints/d128_ff512_l4_h4_best.bin
