step,train_loss,validation_loss
0,6.35942,4.37193
1,6.27248,4.12532
2,6.22429,3.94258
3,6.18042,3.82577
4,6.12017,3.74898
5,6.11167,3.69356
6,6.078,3.65945
7,6.03939,3.63386
8,6.04775,3.60976
9,5.99638,3.5896
10,5.98837,3.57299
11,5.95469,3.55744
12,5.96111,3.54547
13,5.88207,3.53357
14,5.87562,3.52337
15,5.85643,3.51553
16,5.84937,3.5106
17,5.8555,3.50626
18,5.90273,3.49895
19,5.85236,3.49206
20,5.78228,3.48524
21,5.81666,3.47846
22,5.8221,3.4727
23,5.81201,3.46747
24,5.83376,3.46143
25,5.78467,3.45583
26,5.8581,3.45312
27,5.83591,3.4476
28,5.80142,3.44278
29,5.78607,3.4401
30,5.82698,3.43622
31,5.82471,3.43324
32,5.78452,3.42977
33,5.81273,3.42594
34,5.81115,3.42369
35,5.80459,3.41951
36,5.80439,3.41608
37,5.76943,3.41401
38,5.78127,3.41039
39,5.82042,3.40869
40,5.78587,3.40747
41,5.79563,3.40515
42,5.75422,3.4043
43,5.75968,3.40296
44,5.73466,3.40158
45,5.73022,3.40192
46,5.77882,3.39847
47,5.733,3.39839
48,5.82269,3.39779
49,5.79019,3.39742
50,5.81831,
51,5.8063,
52,5.7805,
53,5.79045,
54,5.84637,
55,5.77851,
56,5.77847,
57,5.77565,
58,5.8219,
59,5.74522,
60,5.77029,
61,5.77006,
62,5.79357,
63,5.726,
64,5.78752,
65,5.76035,
66,5.77988,
67,5.73221,
68,5.74586,
69,5.79503,
70,5.70971,
71,5.74216,
72,5.73897,
73,5.782,
74,5.77307,
75,5.77516,
76,5.7927,
77,5.76094,
78,5.74458,
79,5.73789,
80,5.77508,
81,5.75092,
82,5.70435,
83,5.71272,
84,5.74343,
85,5.81886,
86,5.81647,
87,5.92166,
88,5.82547,
89,5.86932,
90,5.86703,
91,5.8075,
92,5.82629,
93,5.82246,
94,5.7826,
95,5.78781,
96,5.80276,
97,5.72909,
98,5.78925,
99,5.83034,
100,5.7886,
101,5.79834,
102,5.8354,
103,5.8204,
104,5.74022,
105,5.74167,
106,5.79928,
107,5.75841,
108,5.73847,
109,5.75046,
110,5.74906,
111,5.76259,
112,5.80982,
113,5.86388,
114,5.87861,
115,5.8825,
116,5.81668,
117,5.84085,
118,5.83361,
119,5.84236,
120,5.82968,
121,5.78488,
122,5.75501,
123,5.79296,
124,5.7307,
125,5.77027,
126,5.8093,
127,5.73607,
128,5.80183,
129,5.75689,
130,5.72329,
131,5.72943,
132,5.74047,
133,5.77365,
134,5.6821,
135,5.68897,
136,5.77825,
137,5.76876,
138,5.76212,
139,5.75508,
140,5.66426,
141,5.64643,
142,5.65569,
143,5.61847,
144,5.70458,
145,5.70755,
146,5.6208,
147,5.60329,
148,5.60078,
149,5.60794,
150,5.69516,
151,5.63829,
152,5.61396,
153,5.62692,
154,5.65564,
155,5.5741,
156,5.54023,
157,5.54835,
158,5.51668,
159,5.55935,
160,5.54576,
161,5.56102,
162,5.50087,
163,5.55081,
164,5.47032,
165,5.47664,
166,5.49284,
167,5.51506,
168,5.40207,
169,5.45582,
170,5.50495,
171,5.43279,
172,5.46557,
173,5.43414,
174,5.41789,
175,5.34951,
176,5.39105,
177,5.37059,
178,5.30445,
179,5.34393,
180,5.38935,
181,5.31865,
182,5.33698,
183,5.28005,
184,5.36665,
185,5.39825,
186,5.42631,
187,5.3697,
188,5.35825,
189,5.35994,
190,5.34902,
191,5.32546,
192,5.27982,
193,5.2995,
194,5.37556,
195,5.25763,
196,5.32751,
197,5.19176,
198,5.24383,
199,5.22004,
200,5.22329,
201,5.21607,
202,5.18998,
203,5.19611,
204,5.09283,
205,5.19633,
206,5.06388,
207,5.12173,
208,5.11838,
209,5.12464,
210,5.15563,
211,4.99699,
212,5.09993,
213,5.18898,
214,5.12928,
215,5.13807,
216,5.09727,
217,5.10905,
218,4.97027,
219,5.02797,
220,5.1001,
221,4.95192,
222,4.94004,
223,4.98808,
224,5.24585,
225,5.23072,
226,5.18032,
227,5.15153,
228,5.11735,
229,5.08882,
230,5.03911,
231,5.03555,
232,5.07077,
233,5.0551,
234,5.01753,
235,5.01549,
236,5.00739,
237,5.01054,
238,4.95302,
239,4.98093,
240,5.05398,
241,5.02281,
242,4.97298,
243,5.09582,
244,5.0471,
245,4.89387,
246,4.90564,
247,5.01069,
248,4.92487,
249,4.94988,
250,5.03759,
251,5.02976,
252,4.94614,
253,4.90141,
254,4.97694,
255,4.94712,
256,4.95294,
257,4.95378,
258,5.01097,
259,4.90556,
260,4.87353,
261,4.91057,
262,4.9551,
263,4.92686,
264,4.7953,
265,4.88623,
266,4.88023,
267,4.8536,
268,4.91926,
269,4.81404,
270,4.73546,
271,4.93251,
272,4.87504,
273,4.68398,
274,4.69425,
275,4.8617,
276,4.97769,
277,4.9613,
278,4.93855,
279,4.82861,
280,4.82434,
281,4.92307,
282,4.87651,
283,4.91116,
284,4.84988,
285,4.74009,
286,4.87989,
287,4.68448,
288,4.7304,
289,4.6619,
290,4.7782,
291,4.93439,
292,4.89822,
293,4.94887,
294,4.95918,
295,4.92389,
296,4.87866,
297,4.8783,
298,4.84122,
299,4.88253,
300,4.84207,
301,4.83461,
302,4.86952,
303,4.87738,
304,5.21836,
305,4.82454,
306,4.82544,
307,4.8726,
308,4.85745,
309,4.74704,
310,4.80074,
311,4.80031,
312,4.80983,
313,4.78692,
314,4.92856,
315,4.80473,
316,4.79137,
317,4.69951,
318,4.75639,
319,4.7376,
320,4.80106,
321,4.82274,
322,4.86389,
323,4.68648,
324,4.80262,
325,4.88047,
326,4.89043,
327,4.947,
328,4.9305,
329,4.79905,
330,4.82138,
331,4.86985,
332,4.86037,
333,4.84091,
334,4.81245,
335,4.77235,
336,4.77747,
337,4.74558,
338,4.67531,
339,4.78296,
340,4.73176,
341,4.69135,
342,4.69787,
343,4.72645,
344,4.79724,
345,4.74491,
346,4.69266,
347,4.74814,
348,4.67618,
349,4.71029,
350,4.74,
351,4.76613,
352,4.71253,
353,4.71474,
354,4.72353,
355,4.69829,
356,4.70444,
357,4.75694,
358,4.71603,
359,4.69782,
360,4.72783,
361,4.73023,
362,4.59622,
363,4.62703,
364,4.64288,
365,4.6512,
366,4.63865,
367,4.69002,
368,4.58264,
369,4.68354,
370,4.64583,
371,4.54328,
372,4.68834,
373,4.62618,
374,4.62384,
375,4.58974,
376,4.65767,
377,4.73293,
378,4.83602,
379,4.73463,
380,4.61878,
381,4.78655,
382,4.6638,
383,4.69315,
384,4.65767,
385,4.62362,
386,4.596,
387,4.68383,
388,4.49001,
389,4.50514,
390,4.36859,
391,4.54325,
392,4.61846,
393,4.68274,
394,4.63444,
395,4.64837,
396,4.58499,
397,4.55532,
398,4.47572,
399,4.59287,
400,4.58425,
401,4.50075,
402,4.5813,
403,4.41261,
404,4.40222,
405,4.65411,
406,4.53402,
407,4.62007,
408,4.525,
409,4.55522,
410,4.47952,
411,4.47804,
412,4.4675,
413,4.49153,
414,4.44278,
415,4.36443,
416,4.44076,
417,4.57851,
418,4.38068,
419,4.53392,
420,4.54891,
421,4.81287,
422,4.77536,
423,4.82534,
424,4.80484,
425,4.83343,
426,4.79081,
427,4.72838,
428,4.62142,
429,4.65682,
430,4.61651,
431,4.63729,
432,4.64527,
433,4.63177,
434,4.63067,
435,4.68453,
436,4.5988,
437,4.5383,
438,4.58023,
439,4.62275,
440,4.51967,
441,4.54435,
442,4.5428,
443,4.53202,
444,4.66837,
445,4.57818,
446,4.55688,
447,4.60951,
448,4.59497,
449,4.48312,
450,4.70435,
451,4.62885,
452,4.70523,
453,4.72444,
454,4.74847,
455,4.68163,
456,4.65676,
457,4.67691,
458,4.63198,
459,4.67989,
460,4.60984,
461,4.64232,
462,4.67109,
463,4.55372,
464,4.57234,
465,4.53441,
466,4.56291,
467,4.46174,
468,4.47369,
469,4.51457,
470,4.50869,
471,4.46553,
472,4.44746,
473,4.45512,
474,4.46497,
475,4.48843,
476,4.5549,
477,4.51304,
478,4.76535,
479,4.68361,
480,4.6504,
481,4.65013,
482,4.69252,
483,4.69904,
484,4.62738,
485,4.64663,
486,4.67927,
487,4.58566,
488,4.65802,
489,4.56132,
490,4.57562,
491,4.49217,
492,4.51642,
493,4.57665,
494,4.59803,
495,4.57908,
496,4.45669,
497,4.50565,
498,4.51499,
499,4.48395,
500,4.57273,
501,4.55187,
502,4.48171,
503,4.46541,
504,4.54554,
505,4.65279,
506,4.55173,
507,4.62392,
508,4.61411,
509,4.66824,
510,4.60447,
511,4.78783,
512,4.67917,
513,4.58206,
514,4.46246,
515,4.52363,
516,4.62884,
517,4.58963,
518,4.5183,
519,4.49667,
520,4.50376,
521,4.5048,
522,4.52833,
523,4.57664,
524,4.49378,
525,4.47185,
526,4.38495,
527,4.39942,
528,4.41709,
529,4.40086,
530,4.33671,
531,4.41762,
532,4.37902,
533,4.46053,
534,4.34473,
535,4.42723,
536,4.47548,
537,4.42537,
538,4.41223,
539,4.65803,
540,4.62179,
541,4.62474,
542,4.66505,
543,4.59089,
544,4.62172,
545,4.54079,
546,4.56607,
547,4.56512,
548,4.49897,
549,4.56704,
550,4.62207,
551,4.72415,
552,4.53896,
553,4.56653,
554,4.54992,
555,4.52072,
556,4.67773,
557,4.57439,
558,4.57163,
559,4.51477,
560,4.41801,
561,4.48279,
562,4.45279,
563,4.39881,
564,4.46257,
565,4.44237,
566,4.4905,
567,4.66835,
568,4.74034,
569,4.66767,
570,4.59008,
571,4.56426,
572,4.55516,
573,4.61299,
574,4.56904,
575,4.50356,
576,4.62351,
577,4.57052,
578,4.57697,
579,4.46924,
580,4.43595,
581,4.47686,
582,4.46015,
583,4.43333,
584,4.46271,
585,4.39112,
586,4.63923,
587,4.72337,
588,4.75472,
589,4.6569,
590,4.60245,
591,4.58813,
592,4.52203,
593,4.70991,
594,4.5333,
595,4.53566,
596,4.51812,
597,4.38675,
598,4.33726,
599,4.44613,
600,4.53523,
601,4.51094,
602,4.35791,
603,4.4463,
604,4.42597,
605,4.39168,
606,4.39373,
607,4.42847,
608,4.31049,
609,4.51008,
610,4.50592,
611,4.50479,
612,4.52149,
613,4.55219,
614,4.60043,
615,4.66207,
616,4.60794,
617,4.47462,
618,4.48777,
619,4.44043,
620,4.49221,
621,4.43964,
622,4.45476,
623,4.55221,
624,4.487,
625,4.44049,
626,4.46076,
627,4.43288,
628,4.4086,
629,4.46181,
630,4.33697,
631,4.34808,
632,4.35437,
633,4.31255,
634,4.34848,
635,4.24321,
636,4.32703,
637,4.36272,
638,4.57586,
639,4.58037,
640,4.49568,
641,4.51553,
642,4.5136,
643,4.44078,
644,4.49492,
645,4.36165,
646,4.45896,
647,4.51316,
648,4.37042,
649,4.51107,
650,4.35493,
651,4.28267,
652,4.47035,
653,4.37131,
654,4.28992,
655,4.3522,
656,4.45481,
657,4.11885,
658,4.30183,
659,4.40731,
660,4.18849,
661,4.31495,
662,4.31655,
663,4.28503,
664,4.11184,
665,4.5799,
666,4.50907,
667,4.52138,
668,4.50492,
669,4.53384,
670,4.46924,
671,4.59031,
672,4.49426,
673,4.41664,
674,4.49145,
675,4.53822,
676,4.51099,
677,4.40997,
678,4.3709,
679,4.44078,
680,4.29044,
681,4.3223,
682,4.34439,
683,4.44777,
684,4.35444,
685,4.16214,
686,4.32398,
687,4.25341,
688,4.18967,
689,4.09635,
690,4.21778,
691,4.30379,
