step,train_loss,validation_loss
0,6.43081,4.35227
1,6.29031,4.0741
2,6.19347,3.93177
3,6.14929,3.82914
4,6.03537,3.76151
5,6.02985,3.72095
6,5.94678,3.6906
7,5.94396,3.65871
8,5.93834,3.62807
9,5.86295,3.60364
10,5.85773,3.58502
11,5.86267,3.56819
12,5.86906,3.55144
13,5.77129,3.54052
14,5.74548,3.53245
15,5.77104,3.52391
16,5.77169,3.51722
17,5.79648,3.51066
18,5.88661,3.50378
19,5.80996,3.49755
20,5.70452,3.49014
21,5.76198,3.48416
22,5.81455,3.47785
23,5.80635,3.4721
24,5.84439,3.46751
25,5.7837,3.46278
26,5.88226,3.45966
27,5.85436,3.45619
28,5.80101,3.45208
29,5.79141,3.44973
30,5.80251,3.44463
31,5.82529,3.44318
32,5.77472,3.43966
33,5.81253,3.43575
34,5.80867,3.4327
35,5.80376,3.42918
36,5.81878,3.42567
37,5.76401,3.42311
38,5.76787,3.42002
39,5.82164,3.41489
40,5.77546,3.41258
41,5.79366,3.40963
42,5.74543,3.40551
43,5.73452,3.4037
44,5.7005,3.3998
45,5.74132,3.39753
46,5.77788,3.39535
47,5.73551,3.39629
48,5.83537,3.39396
49,5.79038,3.3932
50,5.83767,
51,5.84094,
52,5.79732,
53,5.79754,
54,5.84795,
55,5.78325,
56,5.77662,
57,5.77458,
58,5.81732,
59,5.72913,
60,5.75713,
61,5.74781,
62,5.77829,
63,5.71566,
64,5.77458,
65,5.73421,
66,5.75101,
67,5.73515,
68,5.73081,
69,5.79238,
70,5.70792,
71,5.73588,
72,5.73611,
73,5.76602,
74,5.78095,
75,5.76092,
76,5.77232,
77,5.74387,
78,5.74493,
79,5.72009,
80,5.77155,
81,5.75687,
82,5.69039,
83,5.69699,
84,5.73517,
85,5.8266,
86,5.79785,
87,5.91363,
88,5.81369,
89,5.8557,
90,5.84518,
91,5.77795,
92,5.78424,
93,5.79086,
94,5.74132,
95,5.735,
96,5.744,
97,5.66696,
98,5.70767,
99,5.74318,
100,5.69572,
101,5.68127,
102,5.71519,
103,5.70749,
104,5.56626,
105,5.55752,
106,5.62569,
107,5.57522,
108,5.52794,
109,5.53241,
110,5.51941,
111,5.59752,
112,5.68845,
113,5.70648,
114,5.73345,
115,5.66775,
116,5.60949,
117,5.60938,
118,5.59369,
119,5.58259,
120,5.53386,
121,5.48908,
122,5.44598,
123,5.48473,
124,5.40388,
125,5.39154,
126,5.36371,
127,5.30678,
128,5.37411,
129,5.29151,
130,5.28458,
131,5.19176,
132,5.23551,
133,5.30304,
134,5.12108,
135,5.17684,
136,5.26475,
137,5.28161,
138,5.26206,
139,5.30417,
140,5.09107,
141,5.07554,
142,5.07834,
143,5.09896,
144,5.23664,
145,5.20027,
146,5.07485,
147,5.12748,
148,5.03751,
149,5.20997,
150,5.22888,
151,5.17153,
152,5.24054,
153,5.22075,
154,5.18841,
155,5.12154,
156,5.07129,
157,5.08503,
158,5.11129,
159,5.04634,
160,5.07524,
161,5.0868,
162,5.11972,
163,5.14416,
164,5.08545,
165,5.05789,
166,5.04286,
167,5.05905,
168,4.99317,
169,5.04214,
170,5.08155,
171,5.00051,
172,5.06459,
173,4.95669,
174,4.96808,
175,4.9448,
176,4.96476,
177,4.96552,
178,5.00407,
179,5.04657,
180,5.00466,
181,4.90444,
182,4.96545,
183,4.83048,
184,4.95782,
185,5.05814,
186,5.04348,
187,5.0402,
188,5.02524,
189,4.95486,
190,5.02886,
191,4.98918,
192,4.88219,
193,4.90001,
194,5.04962,
195,4.93834,
196,5.03135,
197,4.85479,
198,4.94968,
199,4.94707,
200,5.00253,
201,4.92075,
202,4.88566,
203,4.90207,
204,4.77528,
205,4.91291,
206,4.69599,
207,4.80679,
208,4.79328,
209,4.83769,
210,4.87097,
211,4.64522,
212,4.82353,
213,4.90813,
214,4.83791,
215,4.84681,
216,4.85582,
217,4.88106,
218,4.73876,
219,4.77283,
220,4.81998,
221,4.72122,
222,4.63547,
223,4.69225,
224,5.06442,
225,5.0234,
226,4.99235,
227,4.97748,
228,4.91428,
229,4.86743,
230,4.82698,
231,4.81853,
232,4.85817,
233,4.84038,
234,4.80712,
235,4.81316,
236,4.77833,
237,4.79829,
238,4.72836,
239,4.80231,
240,4.85527,
241,4.85528,
242,4.7562,
243,4.96962,
244,4.88836,
245,4.6641,
246,4.68151,
247,4.83804,
248,4.75206,
249,4.79962,
250,4.87925,
251,4.86017,
252,4.79037,
253,4.70188,
254,4.78671,
255,4.75419,
256,4.7963,
257,4.80104,
258,4.83265,
259,4.78797,
260,4.76562,
261,4.74937,
262,4.81342,
263,4.76786,
264,4.64634,
265,4.73422,
266,4.72684,
267,4.70088,
268,4.72065,
269,4.63792,
270,4.57771,
271,4.79724,
272,4.75099,
273,4.53238,
274,4.53304,
275,4.7327,
276,4.88459,
277,4.87411,
278,4.837,
279,4.71262,
280,4.69346,
281,4.77365,
282,4.7529,
283,4.77399,
284,4.71645,
285,4.60882,
286,4.70516,
287,4.51504,
288,4.62218,
289,4.53042,
290,4.66555,
291,4.77793,
292,4.7665,
293,4.82128,
294,4.86173,
295,4.80082,
296,4.78725,
297,4.76017,
298,4.73726,
299,4.77943,
300,4.72788,
301,4.73126,
302,4.81989,
303,4.79911,
304,5.22964,
305,4.69866,
306,4.73348,
307,4.74525,
308,4.73085,
309,4.62952,
310,4.70738,
311,4.68334,
312,4.64635,
313,4.67008,
314,4.81182,
315,4.65824,
316,4.64145,
317,4.53878,
318,4.63446,
319,4.61538,
320,4.67362,
321,4.75731,
322,4.78683,
323,4.58875,
324,4.73547,
325,4.77687,
326,4.80618,
327,4.83658,
328,4.83141,
329,4.7047,
330,4.76718,
331,4.80459,
332,4.77661,
333,4.7848,
334,4.73736,
335,4.65815,
336,4.68412,
337,4.64879,
338,4.57337,
339,4.71151,
340,4.64871,
341,4.55469,
342,4.55924,
343,4.65297,
344,4.73367,
345,4.66219,
346,4.59752,
347,4.63353,
348,4.56318,
349,4.61202,
350,4.68353,
351,4.70985,
352,4.62826,
353,4.63017,
354,4.69556,
355,4.60097,
356,4.64081,
357,4.64728,
358,4.61652,
359,4.6246,
360,4.61736,
361,4.61415,
362,4.50378,
363,4.53261,
364,4.5423,
365,4.53528,
366,4.54708,
367,4.59068,
368,4.49464,
369,4.57246,
370,4.56756,
371,4.44536,
372,4.6253,
373,4.52375,
374,4.5309,
375,4.50875,
376,4.5918,
377,4.66889,
378,4.74903,
379,4.61871,
380,4.53623,
381,4.68231,
382,4.59413,
383,4.62038,
384,4.5536,
385,4.5261,
386,4.51192,
387,4.63644,
388,4.45407,
389,4.40797,
390,4.25344,
391,4.48169,
392,4.50905,
393,4.60911,
394,4.53138,
395,4.59059,
396,4.51076,
397,4.4692,
398,4.42248,
399,4.48732,
400,4.52941,
401,4.40128,
402,4.49923,
403,4.35136,
404,4.35424,
405,4.56596,
406,4.43854,
407,4.54268,
408,4.43415,
409,4.49451,
410,4.39903,
411,4.38315,
412,4.363,
413,4.43643,
414,4.3332,
415,4.28011,
416,4.33865,
417,4.52745,
418,4.31287,
419,4.45464,
420,4.52015,
421,4.78398,
422,4.74988,
423,4.76732,
424,4.73608,
425,4.7859,
426,4.7573,
427,4.68578,
428,4.59183,
429,4.61502,
430,4.53951,
431,4.58095,
432,4.60466,
433,4.55904,
434,4.60145,
435,4.6137,
436,4.51356,
437,4.4518,
438,4.47087,
439,4.5364,
440,4.47387,
441,4.479,
442,4.49503,
443,4.42364,
444,4.59895,
445,4.50526,
446,4.50596,
447,4.55461,
448,4.54331,
449,4.427,
450,4.64077,
451,4.55345,
452,4.70096,
453,4.71211,
454,4.69499,
455,4.64428,
456,4.5931,
457,4.62093,
458,4.58643,
459,4.60787,
460,4.5481,
461,4.59465,
462,4.58051,
463,4.46645,
464,4.49051,
465,4.45668,
466,4.50404,
467,4.39353,
468,4.38694,
469,4.43142,
470,4.4199,
471,4.34035,
472,4.37137,
473,4.4027,
474,4.3997,
475,4.44095,
476,4.43497,
477,4.43257,
478,4.78742,
479,4.67333,
480,4.70944,
481,4.61931,
482,4.68802,
483,4.65285,
484,4.56903,
485,4.61041,
486,4.64273,
487,4.55879,
488,4.61323,
489,4.50839,
490,4.50806,
491,4.44365,
492,4.46247,
493,4.5622,
494,4.61986,
495,4.57284,
496,4.41496,
497,4.5057,
498,4.46735,
499,4.42738,
500,4.53792,
501,4.51123,
502,4.4576,
503,4.41613,
504,4.49124,
505,4.65616,
506,4.53953,
507,4.62167,
508,4.57907,
509,4.63526,
510,4.5599,
511,4.75021,
512,4.62635,
513,4.52339,
514,4.4057,
515,4.41552,
516,4.60434,
517,4.55589,
518,4.45139,
519,4.4621,
520,4.46434,
521,4.46455,
522,4.49772,
523,4.52486,
524,4.39501,
525,4.41812,
526,4.32704,
527,4.33645,
528,4.41709,
529,4.39072,
530,4.26785,
531,4.38878,
532,4.34798,
533,4.41637,
534,4.31748,
535,4.38758,
536,4.45007,
537,4.37947,
538,4.35911,
539,4.67691,
540,4.63842,
541,4.6054,
542,4.6575,
543,4.57157,
544,4.59362,
545,4.55125,
546,4.54088,
547,4.5185,
548,4.46193,
549,4.5263,
550,4.60913,
551,4.69548,
552,4.50121,
553,4.54883,
554,4.52902,
555,4.50936,
556,4.63835,
557,4.56026,
558,4.53802,
559,4.48907,
560,4.39493,
561,4.41049,
562,4.38551,
563,4.39573,
564,4.40254,
565,4.41296,
566,4.43434,
567,4.68252,
568,4.71114,
569,4.62434,
570,4.5445,
571,4.50845,
572,4.5234,
573,4.54664,
574,4.52237,
575,4.46907,
576,4.56514,
577,4.48943,
578,4.50982,
579,4.42406,
580,4.40257,
581,4.44576,
582,4.4447,
583,4.38414,
584,4.41785,
585,4.33968,
586,4.702,
587,4.76549,
588,4.78658,
589,4.63698,
590,4.60847,
591,4.5979,
592,4.52452,
593,4.68028,
594,4.48289,
595,4.53761,
596,4.51363,
597,4.36581,
598,4.29989,
599,4.43586,
600,4.53625,
601,4.48714,
602,4.3104,
603,4.4056,
604,4.39617,
605,4.37986,
606,4.43547,
607,4.42234,
608,4.25518,
609,4.543,
610,4.51575,
611,4.5185,
612,4.51589,
613,4.56545,
614,4.59058,
615,4.685,
616,4.65768,
617,4.44567,
618,4.48029,
619,4.43364,
620,4.4721,
621,4.44295,
622,4.43141,
623,4.49912,
624,4.45672,
625,4.40607,
626,4.4408,
627,4.39627,
628,4.38936,
629,4.44267,
630,4.31366,
631,4.27882,
632,4.32472,
633,4.2996,
634,4.32039,
635,4.17954,
636,4.30244,
637,4.35153,
638,4.63873,
639,4.62382,
640,4.46961,
641,4.52492,
642,4.5737,
643,4.42415,
644,4.43615,
645,4.33812,
646,4.46248,
